scenario,annual_return,total_invested,future_value,returns,return_pct
Conservative,11.0%,3600000.0,12984570.571370006,9384570.571370006,260.68251587138906
Moderate,12.0%,3600000.0,14838830.48081042,11238830.48081042,312.1897355780672
Optimistic,14.000000000000002%,3600000.0,19517490.07583007,15917490.075830068,442.1525021063908
